,Town,Centroide,Percentil,D_long,D_lat
99,Andoain,POINT (-2.0219417231536196 43.21411537359284),4,-2.0219417231536196,43.21411537359284
100,Andoain,POINT (-2.0164670916343486 43.212763072464504),3,-2.0164670916343486,43.212763072464504
101,Andoain,POINT (-2.018780037050361 43.21848852394336),4,-2.018780037050361,43.21848852394336
102,Andoain,POINT (-2.0224451691450995 43.22288344469172),1,-2.0224451691450995,43.22288344469172
103,Andoain,POINT (-2.0322986665410876 43.207661292373345),4,-2.0322986665410876,43.207661292373345
104,Andoain,POINT (-2.012848930922468 43.22490980418931),3,-2.012848930922468,43.22490980418931
105,Andoain,POINT (-2.0219787396966695 43.2186047569042),2,-2.0219787396966695,43.2186047569042
106,Andoain,POINT (-2.0225018848444147 43.219402224607535),2,-2.0225018848444147,43.219402224607535
107,Andoain,POINT (-2.022431815349831 43.21860194382022),2,-2.022431815349831,43.21860194382022
108,Andoain,POINT (-2.016229400400887 43.216486390490324),3,-2.016229400400887,43.216486390490324
109,Andoain,POINT (-2.0175730476383618 43.2214036078488),1,-2.0175730476383618,43.2214036078488
110,Andoain,POINT (-2.017357355632692 43.219919049654195),3,-2.017357355632692,43.219919049654195
111,Andoain,POINT (-2.025084732199551 43.21302145428308),2,-2.025084732199551,43.21302145428308
112,Andoain,POINT (-2.021735301781191 43.21611103035504),1,-2.021735301781191,43.21611103035504
113,Andoain,POINT (-2.019598700597925 43.218530202171415),3,-2.019598700597925,43.218530202171415
114,Andoain,POINT (-2.0198186028939302 43.21426626302403),3,-2.0198186028939302,43.21426626302403
115,Andoain,POINT (-2.025431151221467 43.211546271959264),2,-2.025431151221467,43.211546271959264
116,Andoain,POINT (-2.018898155479081 43.21407336534872),4,-2.018898155479081,43.21407336534872
117,Andoain,POINT (-2.017991251838821 43.21758683109743),4,-2.017991251838821,43.21758683109743
118,Andoain,POINT (-2.018583466713557 43.216878692440815),4,-2.018583466713557,43.216878692440815
119,Andoain,POINT (-2.033901412457476 43.20850587223616),4,-2.033901412457476,43.20850587223616
120,Andoain,POINT (-2.017074713573353 43.21140394877964),4,-2.017074713573353,43.21140394877964
121,Andoain,POINT (-2.0202179315798294 43.212756713881184),3,-2.0202179315798294,43.212756713881184
122,Andoain,POINT (-2.02172355206377 43.21871098031254),2,-2.02172355206377,43.21871098031254
123,Andoain,POINT (-2.0250964550141504 43.222972110099995),1,-2.0250964550141504,43.222972110099995
124,Andoain,POINT (-2.0206531635074367 43.217925693754665),1,-2.0206531635074367,43.217925693754665
125,Andoain,POINT (-2.0241712628632422 43.22280283810039),1,-2.0241712628632422,43.22280283810039
126,Andoain,POINT (-2.033285723577927 43.21312429582972),4,-2.033285723577927,43.21312429582972
127,Andoain,POINT (-2.0234919774873905 43.22067465250534),2,-2.0234919774873905,43.22067465250534
128,Andoain,POINT (-2.026662621858509 43.21111524321959),2,-2.026662621858509,43.21111524321959
129,Andoain,POINT (-2.033964125782802 43.2126423189558),4,-2.033964125782802,43.2126423189558
130,Andoain,POINT (-2.031811390978839 43.2095181164344),4,-2.031811390978839,43.2095181164344
131,Andoain,POINT (-2.032590101187752 43.20849431342137),4,-2.032590101187752,43.20849431342137
132,Andoain,POINT (-2.018032948623293 43.219659815169145),3,-2.018032948623293,43.219659815169145
133,Andoain,POINT (-2.025344405517293 43.226756106493426),3,-2.025344405517293,43.226756106493426
134,Andoain,POINT (-2.017835612829343 43.22455074067911),3,-2.017835612829343,43.22455074067911
135,Andoain,POINT (-2.0201891586865193 43.21907118569099),2,-2.0201891586865193,43.21907118569099
136,Andoain,POINT (-2.016616527635754 43.219361260904094),3,-2.016616527635754,43.219361260904094
137,Andoain,POINT (-2.0221742329629158 43.21744320078465),1,-2.0221742329629158,43.21744320078465
138,Andoain,POINT (-2.020561400958448 43.218829862055024),2,-2.020561400958448,43.218829862055024
139,Andoain,POINT (-2.0200555198034564 43.2149352661927),3,-2.0200555198034564,43.2149352661927
140,Andoain,POINT (-2.0186224193991302 43.218684354586635),4,-2.0186224193991302,43.218684354586635
141,Andoain,POINT (-2.0191783280828166 43.218566990821316),4,-2.0191783280828166,43.218566990821316
142,Andoain,POINT (-2.035219239320692 43.213417827312846),4,-2.035219239320692,43.213417827312846
143,Andoain,POINT (-2.0222113206156833 43.21453171243338),4,-2.0222113206156833,43.21453171243338
144,Andoain,POINT (-2.021714291692964 43.21579415134098),1,-2.021714291692964,43.21579415134098
145,Andoain,POINT (-2.0196729851423862 43.21534481761093),3,-2.0196729851423862,43.21534481761093
146,Andoain,POINT (-2.0237950196329 43.22255676044855),1,-2.0237950196329,43.22255676044855
147,Andoain,POINT (-2.017158647110846 43.219688098602425),3,-2.017158647110846,43.219688098602425
148,Andoain,POINT (-2.0197524816518975 43.21293277385766),3,-2.0197524816518975,43.21293277385766
149,Andoain,POINT (-2.0184688684218584 43.221221811538136),1,-2.0184688684218584,43.221221811538136
150,Andoain,POINT (-2.023933506793133 43.22047630101665),2,-2.023933506793133,43.22047630101665
151,Andoain,POINT (-2.027291480384506 43.21129489532222),2,-2.027291480384506,43.21129489532222
152,Andoain,POINT (-2.0233043640377173 43.21119529699089),4,-2.0233043640377173,43.21119529699089
153,Andoain,POINT (-2.025525446612993 43.21221701706544),2,-2.025525446612993,43.21221701706544
154,Andoain,POINT (-2.0236092885509103 43.212663481548944),4,-2.0236092885509103,43.212663481548944
155,Andoain,POINT (-2.021518427798937 43.22038271480582),2,-2.021518427798937,43.22038271480582
156,Andoain,POINT (-2.022617444244416 43.21384867350055),4,-2.022617444244416,43.21384867350055
157,Andoain,POINT (-2.023489190965766 43.22313850112175),1,-2.023489190965766,43.22313850112175
158,Andoain,POINT (-2.022704635900174 43.21422962625945),4,-2.022704635900174,43.21422962625945
159,Andoain,POINT (-2.0208953419191684 43.219359378227026),2,-2.0208953419191684,43.219359378227026
160,Andoain,POINT (-2.019661910955269 43.21793025273991),3,-2.019661910955269,43.21793025273991
161,Andoain,POINT (-2.0189019344992594 43.218142833205384),4,-2.0189019344992594,43.218142833205384
162,Andoain,POINT (-2.030892038361548 43.20868101011792),4,-2.030892038361548,43.20868101011792
163,Andoain,POINT (-2.0236093130990636 43.2208072531879),2,-2.0236093130990636,43.2208072531879
164,Andoain,POINT (-2.0224146607121845 43.22046284958031),2,-2.0224146607121845,43.22046284958031
165,Andoain,POINT (-2.0220238204775023 43.21389459221096),4,-2.0220238204775023,43.21389459221096
166,Andoain,POINT (-2.0226647419271386 43.21134494039159),4,-2.0226647419271386,43.21134494039159
167,Andoain,POINT (-2.020098852586301 43.214150047514124),3,-2.020098852586301,43.214150047514124
168,Andoain,POINT (-2.0227591656892976 43.213846887424864),4,-2.0227591656892976,43.213846887424864
169,Andoain,POINT (-2.0268241020258806 43.21212034622464),2,-2.0268241020258806,43.21212034622464
170,Andoain,POINT (-2.0189219525204383 43.21327205698698),4,-2.0189219525204383,43.21327205698698
