,Town,D_lat,D_long
105,Irun,43.32762339256333,-1.8147254570164277
106,Irun,43.33958462329316,-1.7611890914839317
107,Irun,43.326066787065905,-1.8328644692042204
108,Irun,43.327303894508596,-1.825111510319934
109,Irun,43.33875831908529,-1.7885325409975286
110,Irun,43.33269622686494,-1.8180830663123928
111,Irun,43.34718262467488,-1.786864359667652
112,Irun,43.33561400264527,-1.8132140519755602
113,Irun,43.33985753585957,-1.7700358929106268
114,Irun,43.33795146741197,-1.754837898587543
115,Irun,43.3342790859071,-1.803957135159139
116,Irun,43.32939382832081,-1.8078777926453204
117,Irun,43.34123781984271,-1.8006493835778767
118,Irun,43.340745927769746,-1.7912532508462897
119,Lazkao,43.04399072773429,-2.190370338101768
120,Lazkao,43.0257655403771,-2.1811499675599046
121,Lazkao,43.03926261899318,-2.1887399193817076
122,Lazkao,43.03450733459746,-2.18686172007936
123,Lazkao,43.02607868329474,-2.1794810336168906
124,Lazkao,43.04311432604229,-2.190709521961033
125,Lazkao,43.02759725063043,-2.1816691307649774
126,Lazkao,43.040731151142076,-2.189314037602365
127,Legazpi,43.042155811486396,-2.3364372361657693
128,Legazpi,43.06528314826135,-2.335473652578491
129,Legazpi,43.05037896532782,-2.3338217437921203
130,Legazpi,43.05891534159018,-2.344238752914523
131,Legazpi,43.07492250084399,-2.3284716046997107
132,Legazpi,43.05346039894327,-2.3301511422899077
133,Legazpi,43.03800781718449,-2.336606125440897
134,Legazpi,43.056658550420224,-2.334146540774125
135,Lezo,43.32363953650849,-1.875793518514143
136,Lezo,43.32098121371322,-1.8988378920575137
137,Lezo,43.32604770789318,-1.858982290370125
138,Lezo,43.32152466779621,-1.8919083736874895
139,Lezo,43.32683569131453,-1.8739295615648712
140,Lezo,43.324336818850234,-1.903815056680488
141,Lezo,43.32589857528055,-1.8777078334508
142,Lezo,43.31759378449274,-1.9010838807367916
143,Arrasate/Mondragon,43.065314373631374,-2.5118858614835524
144,Arrasate/Mondragon,43.06413415134354,-2.483761377919501
145,Arrasate/Mondragon,43.05594085187136,-2.4919403144536822
146,Arrasate/Mondragon,43.065881914774536,-2.48964700532052
147,Arrasate/Mondragon,43.060619386752286,-2.4990301665290717
148,Arrasate/Mondragon,43.074394136632534,-2.4971787432664265
149,Arrasate/Mondragon,43.06547740630589,-2.479575766752789
150,Arrasate/Mondragon,43.06461598322568,-2.4921893094598877
151,Arrasate/Mondragon,43.06246410409598,-2.505290771153971
152,Arrasate/Mondragon,43.049103544452315,-2.496837147728479
153,Arrasate/Mondragon,43.06698251707065,-2.5066367540299344
154,Arrasate/Mondragon,43.069014435378,-2.516351970981086
155,Mutriku,43.29542414092828,-2.3568315885343245
156,Mutriku,43.3070081638499,-2.3855245430770204
157,Mutriku,43.308244174384335,-2.39525322112356
158,Mutriku,43.305739735162014,-2.383469002544662
159,Mutriku,43.30742167043443,-2.3936638877785725
160,Mutriku,43.304760027505125,-2.3864784050561156
161,Mutriku,43.30641705193092,-2.3819736613876508
162,Mutriku,43.30725375285861,-2.38709180496916
163,Oñati,43.02603246428244,-2.4088355654739337
164,Oñati,43.05102620328006,-2.430430899355708
165,Oñati,43.06819217869326,-2.445251598997349
166,Oñati,43.041609803473406,-2.4207686558489847
167,Oñati,43.03311233565921,-2.414034994190098
168,Oñati,43.05265939185559,-2.4351743345467898
169,Oñati,43.04555536421739,-2.423910054124397
170,Oñati,43.03690833798833,-2.4212247978985713
171,Oñati,43.03134109371405,-2.4105908692168785
172,Oñati,43.03738352291442,-2.4180662802427837
173,Oñati,43.04256046548355,-2.4283419484860898
174,Oñati,43.05874946824504,-2.4369151730273004
175,Orio,43.27651750710627,-2.126388172184495
176,Orio,43.27723050378408,-2.1241081841034397
177,Orio,43.27849813493702,-2.130499010179058
178,Orio,43.27946552344482,-2.1261346734328677
179,Orio,43.28153269302553,-2.124264579364315
180,Orio,43.27637007761625,-2.121248936045993
181,Orio,43.276160037450175,-2.1273105019359937
182,Orio,43.275919185570274,-2.1267701628618023
183,Oiartzun,43.31326341299377,-1.8753578506382522
184,Oiartzun,43.292098581208656,-1.880820125588291
185,Oiartzun,43.29821079964222,-1.8593414168073588
186,Oiartzun,43.31789513276446,-1.8619733820003885
187,Oiartzun,43.30134099647666,-1.8833705443270685
188,Oiartzun,43.319787233634564,-1.8543688926258584
189,Oiartzun,43.29047845017337,-1.8558308044750398
190,Oiartzun,43.31664237252656,-1.8673955082454887
191,Oiartzun,43.31651903541905,-1.8777402722716336
192,Oiartzun,43.29787774813656,-1.8818171761266742
193,Oiartzun,43.318084656152685,-1.8731047868728623
194,Oiartzun,43.30438509453789,-1.8773265143118467
195,Pasaia,43.3241409263943,-1.9275665944865898
196,Pasaia,43.32165155757442,-1.9213892073259036
197,Pasaia,43.32254825310857,-1.9122907799041784
198,Pasaia,43.32524540775665,-1.9239973988906112
199,Pasaia,43.32452447569088,-1.9313356345074295
200,Pasaia,43.31656272936013,-1.9176825600640524
201,Pasaia,43.325755037874906,-1.9198299468367086
202,Pasaia,43.32225868143459,-1.9364510409672433
203,Errenteria,43.31418068236337,-1.9065858982387687
204,Errenteria,43.29556104144509,-1.8988578111567658
205,Errenteria,43.306893693104314,-1.912522870016655
206,Errenteria,43.305267398648795,-1.9034581568536277
207,Errenteria,43.312687841861376,-1.8987090589824724
208,Errenteria,43.301360341667944,-1.902664305540033
209,Errenteria,43.30807018604729,-1.8829879908618827
210,Errenteria,43.31693690257424,-1.9109605628590465
211,Errenteria,43.29861219539372,-1.8948323433368186
212,Errenteria,43.313297299921835,-1.9013570655442065
213,Errenteria,43.30419351591974,-1.9095363516908703
214,Errenteria,43.31173286650537,-1.8957549682824804
215,Donostia/San Sebastian,43.30440895548145,-1.9755460815916848
216,Donostia/San Sebastian,43.3013654720065,-2.020281558408339
217,Donostia/San Sebastian,43.31954308642647,-1.9812437822330882
218,Donostia/San Sebastian,43.315978333689046,-1.938720674370101
219,Donostia/San Sebastian,43.254550767377175,-2.02252441101546
220,Donostia/San Sebastian,43.30088455496067,-2.0035716471093403
221,Donostia/San Sebastian,43.298029182680565,-1.95595314727796
222,Donostia/San Sebastian,43.29180829032919,-1.9840107970919545
223,Donostia/San Sebastian,43.31291613068946,-2.0048807846698895
224,Donostia/San Sebastian,43.322790011301905,-1.972276004540283
225,Donostia/San Sebastian,43.31523427588174,-1.9797574703277878
226,Donostia/San Sebastian,43.280043891902686,-2.012306343030413
227,Donostia/San Sebastian,43.318984938534925,-1.9580331186891275
